,location,name,price,space,latitude,longitude
224,"Lublin, Czechów Górny","Mieszkanie, 50 m², Lublin",1900.0,50,51.2636111,22.5394445
225,"Lublin, Błonie","Mieszkanie, 65 m², Lublin",1900.0,65,52.1747664,23.3359734
226,"Lublin, os. Konopnickiej",2 pokoje w Metropolitan Park w wysokim standardzie,1900.0,41,51.2365964,22.5254332
227,"Lublin, Czechów Górny","Mieszkanie, 52 m², Lublin",1900.0,52,51.2636111,22.5394445
228,"Lublin, Czechów Dolny","Mieszkanie, 54 m², Lublin",1900.0,54,51.2608333,22.5291667
229,"Lublin, Czechów, Generała Augusta Fieldorfa","Mieszkanie, 50 m², Lublin",1900.0,50,51.2644638,22.5624246
230,"Lublin, Kalinowszczyzna, Lwowska","Wynajem, Lublin, Perły Kaliny, 2011 rok, 2 pokoje",1900.0,50,51.2522527,22.5757621
231,"Lublin, Czechów","Mieszkanie, 38 m², Lublin",1900.0,38,51.2655556,22.5472222
232,"Lublin, Bazylianówka, Dożynkowa","3 pokoje, kameralne osiedle, ul. Dożynkowa, Ikea",1900.0,57,51.2767054,22.5839832
233,"Lublin, Czechów, Generała Augusta Fieldorfa",Nowoczesne 2 pokojowe mieszkanie z garażem,1900.0,56,51.2644638,22.5624246
234,"Lublin, Śródmieście, Hugo Kołłątaja","Mieszkanie w kamienicy, centrum miasta, 58m2, Eng",1900.0,58,-1.0,-1.0
235,"Lublin, Śródmieście, Hugo Kołłątaja","Mieszkanie, 60 m², Lublin",1900.0,60,-1.0,-1.0
236,"Lublin, Rudnik, Bluszczowa","Mieszkanie, 42 m², Lublin",1900.0,42,51.2775439,22.5878233
237,"Lublin, Wrotków, Janowska","Mieszkanie, 96 m², Lublin",1900.0,96,-1.0,-1.0
238,"Lublin, Śródmieście, Obrońców pokoju","Mieszkanie, 67 m², Lublin",1900.0,67,51.2449655,22.5468273
239,"Lublin, Rury, Nadbystrzycka","Mieszkanie, 80 m², Lublin",1900.0,80,51.2381334,22.5508413
240,"Lublin, Śródmieście, Graniczna","Mieszkanie, 68 m², Lublin",1900.0,68,51.2425394,22.5602459
241,"Lublin, Wieniawa, Puławska","Mieszkanie, 63 m², Lublin",1900.0,63,51.2543518,22.5305424
242,"Lublin, Czechów, Józefa Mackiewicza","Mieszkanie, 50 m², Lublin",1900.0,50,51.2696677,22.5636821
243,"Lublin, Wieniawa, Legionowa","Mieszkanie, 49 m², Lublin",1900.0,49,51.2506286,22.5318759
244,"Lublin, Rogatka Warszawska, Żołnierska","Mieszkanie, 65 m², Lublin",1900.0,65,-1.0,-1.0
245,"Lublin, Wrotków, Jacka Woronieckiego","Mieszkanie, 54 m², Lublin",1900.0,54,51.1991426,22.5435132
246,"Lublin, Czechów, Józefa Mackiewicza","Mieszkanie, 52 m², Lublin",1900.0,52,51.2696677,22.5636821
247,"Lublin, Kalinowszczyzna, Niepodległości","Mieszkanie, 62 m², Lublin",1900.0,62,51.2580556,22.5925
248,"Lublin, Czechów Górny","Mieszkanie, 50 m², Lublin",1910.0,50,51.2636111,22.5394445
249,"Lublin, Czechów, Witolda Chodźki","Chodźki, Compas, Czechów blisko Um.",1950.0,49,51.2640338,22.5625247
250,"Lublin, Czechów, Józefa Mackiewicza","Czechów, 2 pokoje, 50m2, apartament, od zaraz!",1950.0,50,51.2696677,22.5636821
251,"Lublin, Czechów Górny","Mieszkanie, 41 m², Lublin",1950.0,41,51.2636111,22.5394445
252,"Lublin, Centrum, Krakowskie Przedmieście","Mieszkanie, 36 m², Lublin",1950.0,36,-1.0,-1.0
253,"Lublin, Centrum, Krakowskie Przedmieście","Mieszkanie, 33 m², Lublin",1950.0,33,-1.0,-1.0
254,"Lublin, Czechów, Jana Sapiehy","Duże 3 pokoje na Czechowie, bardzo blisko Um!",1950.0,63,-1.0,-1.0
255,"Lublin, Centrum","Mieszkanie, 63,61 m², Lublin",1950.0,63.61,52.0339822,23.1192263
256,"Lublin, Czechów","Mieszkanie, 77 m², Lublin",1950.0,77,51.2655556,22.5472222
257,"Lublin, Czechów, Józefa Mackiewicza","Mieszkanie, 37 m², Lublin",1950.0,37,51.2696677,22.5636821
258,"Lublin, Czechów","Mieszkanie, 42 m², Lublin",1950.0,42,51.2655556,22.5472222
259,"Lublin, Śródmieście, Weteranów","Mieszkanie, 75 m², Lublin",1950.0,75,-1.0,-1.0
260,"Lublin, Czechów, Józefa Mackiewicza","Mieszkanie, 40 m², Lublin",1950.0,40,51.2696677,22.5636821
261,"Lublin, Lublin, Sielankowa","Mieszkanie, 72 m², Lublin",1950.0,72,51.2527057,22.5212518
262,"Lublin, Czechów, Józefa Mackiewicza","Mieszkanie, 39 m², Lublin",1950.0,39,51.2696677,22.5636821
263,"Lublin, Czechów, Józefa Mackiewicza","Mieszkanie, 40 m², Lublin",1950.0,40,51.2696677,22.5636821
264,"Lublin, Czechów, Józefa Mackiewicza","Mieszkanie, 39 m², Lublin",1950.0,39,51.2696677,22.5636821
265,"Lublin, Czechów, Szeligowskiego","Mieszkanie, 38 m², Lublin",1950.0,38,51.2672635,22.5583604
266,"Lublin, Willowa",____ Eleganckie pod wynajem____,1950.0,64,51.2679786,22.5126335
267,"Lublin, Błonie",Mieszkanie z pięknym widokiem! Blisko Uczelni!,1990.0,63,52.1747664,23.3359734
268,"Lublin, Ponikwoda, Ignacego Czumy",***2 Pokoje***Garaż***,1999.0,60,51.2721526,22.5785414
269,"Lublin, Ponikwoda, Ignacego Czumy",Ponikwoda Bazylianówka mieszkanie z ogrodem.,1999.0,68,51.2721526,22.5785414
270,"Lublin, Czechów Górny,  Ignacego Czumy","Przestronne, atrakcyjne i zadbane mieszkanie !",1999.0,68,-1.0,-1.0
271,Lublin,Miasteczko Akademickie - dla 5 osób. 90m2,2000.0,90,51.250559,22.5701022
272,"Lublin, LSM","Lublin, Lsm, Sunhill",2000.0,48,51.2416257,22.5293341
273,"Lublin, Centrum","Mieszkanie, 54 m², Lublin",2000.0,54,52.0339822,23.1192263
274,"Lublin, Wiśniowy Sad","Mieszkanie, 55 m², Lublin",2000.0,55,-1.0,-1.0
275,"Lublin, Węglin, Białostocka","Mieszkanie, 90 m², Lublin",2000.0,90,51.2269664,22.5026058
276,"Lublin, Wrotków, Janowska","3 pokoje, Wrotków",2000.0,93,-1.0,-1.0
277,"Lublin, Kalinowszczyzna, Lwowska","Mieszkanie do wynajęcia ul. Lwowska, 2pok.",2000.0,49.5,51.2522527,22.5757621
278,"Lublin, Centrum",Apartament bez żadnych dodatkowych opłat!!!,2000.0,42,52.0339822,23.1192263
279,"Lublin, Centrum",Zamieszkaj w sercu Lublina!,2000.0,44,52.0339822,23.1192263
280,"Lublin, Czechów Dolny","Mieszkanie 4 pokoje, Czechów Dolny",2000.0,62.2,51.2608333,22.5291667
281,"Lublin, Śródmieście, Środkowa",*** Po Remoncie * Tylko U Nas ***,2000.0,64,51.242207,22.5583404
282,"Lublin, Centrum, Krakowskie Przedmieście","Mieszkanie, 56 m², Lublin",2000.0,56,-1.0,-1.0
283,"Lublin, Centrum","Czteropokojowe, umeblowane, Centrum",2000.0,102,52.0339822,23.1192263
284,"Lublin, Centrum",Super Mieszkanie w centrum! Rent Mul Um,2000.0,40,52.0339822,23.1192263
285,"Lublin, Bronowice",Do wynajęcia 3 pokoje w nowym budownictwie,2000.0,60,51.2358736,22.5851494
286,"Lublin, Miasteczko Akademickie","Mieszkanie, 55,40 m², Lublin",2000.0,55.4,51.2466616,22.5423062
287,"Lublin, Węglinek","Nowe budownictwo, garaż w cenie, wysoki standard",2000.0,55.6,51.2182476,22.4841711
288,"Lublin, Wieniawa,  Legionowa","Nowe, umeblowane, bez opłat dodatkowych",1650.0,40,51.2506286,22.5318759
289,"Lublin, Centrum, Szeligowskiego 8","Apart. z miejscem parking, z widokiem na Lublin",3150.0,54,-1.0,-1.0
290,"Lublin,  Dolna Panny Marii",Luksusowy apartament 100m + garaż,4000.0,100,51.2425357,22.5606476
291,"Lublin, Czuby","Mieszkanie z duszą, dla osób osób z wyobraźnią!",2000.0,64,51.2285398,22.5209437
292,"Lublin, Centrum","Mieszkanie, 75 m², Lublin",2000.0,75,52.0339822,23.1192263
293,"Lublin, Śródmieście",Apartament Centrum,2000.0,35,51.2472348,22.5555465
294,"Lublin, Centrum",Idealne mieszkanie pod wynajem!,2000.0,60.65,52.0339822,23.1192263
295,"Lublin, Śródmieście",Mieszkanie dwupokojowe dla profesjonalisty,2000.0,35,51.2472348,22.5555465
296,"Lublin, Centrum, Boczna Lubomelskiej","Komfortowy apartament z garażem, Lublin Centrum",2000.0,35,-1.0,-1.0
297,"Lublin, Bronowice",Do wynajęcia 3 pokoje w nowym budownictwie,2000.0,60,51.2358736,22.5851494
298,"Lublin, Miasteczko Akademickie","Mieszkanie, 55,40 m², Lublin",2000.0,55.4,51.2466616,22.5423062
299,"Lublin, Czuby","Mieszkanie, 60 m², Lublin",2000.0,60,51.2285398,22.5209437
300,"Lublin, Centrum",Super Mieszkanie w centrum! Rent Mul Um,2000.0,40,52.0339822,23.1192263
301,"Lublin, Centrum","Czteropokojowe, umeblowane, Centrum",2000.0,102,52.0339822,23.1192263
302,"Lublin, Śródmieście, Niecała","Mieszkanie, 46 m², Lublin",2000.0,46,51.2511754,22.560845
303,"Lublin, Wieniawa, Puławska","Mieszkanie, 84 m², Lublin",2000.0,84,51.2543518,22.5305424
304,"Lublin, Rudnik, Konrada Bielskiego","Mieszkanie, 58 m², Lublin",2000.0,58,51.2727582,22.5767295
305,"Lublin, Śródmieście, Hugo Kołłątaja","Mieszkanie, 65 m², Lublin",2000.0,65,-1.0,-1.0
306,"Lublin, Rury, Jana Sawy","Mieszkanie, 70 m², Lublin",2000.0,70,51.2390918,22.5250551
307,"Lublin, Śródmieście, Staszica","Mieszkanie, 75 m², Lublin",2000.0,75,51.2503267,22.5633276
